round_epochs,loss,val_loss,nr_layers,hidden_layer_size,activation,dropout,lr
100,0.8046227566693632,0.8517638330144811,3,16,ReLU(),0.05,0.01
100,8.12723877904194,8.295465514635874,3,16,ReLU(),0.05,0.001
100,0.9388923032001711,0.9213289158998524,3,16,ReLU(),0.1,0.01
100,9.460601833741293,9.918085082414343,3,16,ReLU(),0.1,0.001
100,0.6638020228994171,0.6992149503085919,3,16,LeakyReLU(negative_slope=0.01),0.05,0.01
100,14.595004535519395,14.626502675943627,3,16,LeakyReLU(negative_slope=0.01),0.05,0.001
100,0.9259140434361165,0.8243105899276477,3,16,LeakyReLU(negative_slope=0.01),0.1,0.01
100,27.830956729015444,27.846204375615514,3,16,LeakyReLU(negative_slope=0.01),0.1,0.001
100,0.6944883022782428,0.849021490301165,3,32,ReLU(),0.05,0.01
100,25.14819827804295,25.139750629527217,3,32,ReLU(),0.05,0.001
100,0.8845247616764091,1.0200368346058843,3,32,ReLU(),0.1,0.01
100,8.172542074274,8.437520867117959,3,32,ReLU(),0.1,0.001
100,0.7774073528354445,0.9834045600686707,3,32,LeakyReLU(negative_slope=0.01),0.05,0.01
100,19.014606433821577,19.214563414556537,3,32,LeakyReLU(negative_slope=0.01),0.05,0.001
100,0.7693523687139716,0.9016622565897108,3,32,LeakyReLU(negative_slope=0.01),0.1,0.01
100,13.955653241913195,14.004806298369912,3,32,LeakyReLU(negative_slope=0.01),0.1,0.001
100,0.7506281300220968,1.0033535604424815,3,64,ReLU(),0.05,0.01
100,13.231235116950149,13.428315843357362,3,64,ReLU(),0.05,0.001
100,0.8872007983996647,1.1755639765355523,3,64,ReLU(),0.1,0.01
100,13.027928647767007,13.181990610386208,3,64,ReLU(),0.1,0.001
100,1.309259952470967,1.8117354906579497,3,64,LeakyReLU(negative_slope=0.01),0.05,0.01
100,8.22969665886212,8.42155770883951,3,64,LeakyReLU(negative_slope=0.01),0.05,0.001
100,1.4513347448346834,1.929332798291119,3,64,LeakyReLU(negative_slope=0.01),0.1,0.01
100,8.380591993662472,9.221522881130811,3,64,LeakyReLU(negative_slope=0.01),0.1,0.001
100,0.38725693943233047,0.4143856507560381,4,16,ReLU(),0.05,0.01
100,13.552930651979098,13.69425510831907,4,16,ReLU(),0.05,0.001
100,0.4635851485180993,0.6676128066408552,4,16,ReLU(),0.1,0.01
100,11.947379255938733,11.633722941519167,4,16,ReLU(),0.1,0.001
100,0.5596284463557357,0.69122294051359,4,16,LeakyReLU(negative_slope=0.01),0.05,0.01
100,11.927448664777433,11.82898260569542,4,16,LeakyReLU(negative_slope=0.01),0.05,0.001
100,0.6160794158892345,0.7281939156762728,4,16,LeakyReLU(negative_slope=0.01),0.1,0.01
100,7.620846071237564,8.000200237371368,4,16,LeakyReLU(negative_slope=0.01),0.1,0.001
100,0.687552771688034,0.7821477806016811,4,32,ReLU(),0.05,0.01
100,11.87560063602928,12.044806229579919,4,32,ReLU(),0.05,0.001
100,0.5152407364369576,0.5825514860260722,4,32,ReLU(),0.1,0.01
100,5.157757346174293,5.305204191264163,4,32,ReLU(),0.1,0.001
100,0.6118804148904826,0.9001418329718031,4,32,LeakyReLU(negative_slope=0.01),0.05,0.01
100,7.50516171406007,7.546688082055482,4,32,LeakyReLU(negative_slope=0.01),0.05,0.001
100,0.4628714469878375,0.6546008014291795,4,32,LeakyReLU(negative_slope=0.01),0.1,0.01
100,8.002083283490188,7.8728892873742735,4,32,LeakyReLU(negative_slope=0.01),0.1,0.001
100,0.7898815822891543,0.9340546070588704,4,64,ReLU(),0.05,0.01
100,10.474715253309007,10.222689958375648,4,64,ReLU(),0.05,0.001
100,0.6800239668977217,0.8904860840773945,4,64,ReLU(),0.1,0.01
100,7.45521376937611,7.5415686222109635,4,64,ReLU(),0.1,0.001
100,0.6300949298035684,0.8868198810476419,4,64,LeakyReLU(negative_slope=0.01),0.05,0.01
100,13.00177230449876,13.105562678357954,4,64,LeakyReLU(negative_slope=0.01),0.05,0.001
100,0.6124429097475765,0.8488255828471468,4,64,LeakyReLU(negative_slope=0.01),0.1,0.01
100,7.275694625529843,7.647924372884347,4,64,LeakyReLU(negative_slope=0.01),0.1,0.001
