,round_epochs,loss,val_loss,nr_layers,hidden_layer_size,activation,dropout,lr
0,100,0.7202052971266761,0.965104344861328,3,16,ReLU(),0.05,0.01
1,100,21.485518445683823,21.504182210998547,3,16,ReLU(),0.05,0.001
2,100,0.5583355717882222,0.711452037988032,3,16,ReLU(),0.1,0.01
3,100,12.559783596897738,14.867688089721865,3,16,ReLU(),0.1,0.001
4,100,0.7424389903797177,1.1286942758592278,3,16,LeakyReLU(negative_slope=0.01),0.05,0.01
5,100,12.237421656181189,13.134992994706296,3,16,LeakyReLU(negative_slope=0.01),0.05,0.001
6,100,0.8764358803830907,1.6122117863229168,3,16,LeakyReLU(negative_slope=0.01),0.1,0.01
7,100,14.84135408739697,15.650479890487448,3,16,LeakyReLU(negative_slope=0.01),0.1,0.001
8,100,0.6687554200065721,0.694709309357901,3,32,ReLU(),0.05,0.01
9,100,7.164704534971677,9.02133071415933,3,32,ReLU(),0.05,0.001
10,100,0.6942888626113977,0.8915610519417664,3,32,ReLU(),0.1,0.01
11,100,22.49472517726264,24.53206539936557,3,32,ReLU(),0.1,0.001
12,100,0.7711088448538912,1.1788023628815285,3,32,LeakyReLU(negative_slope=0.01),0.05,0.01
13,100,8.175526166074462,15.54205361753107,3,32,LeakyReLU(negative_slope=0.01),0.05,0.001
14,100,0.662812961505603,1.3462529155042886,3,32,LeakyReLU(negative_slope=0.01),0.1,0.01
15,100,12.159647390999092,14.194772194461676,3,32,LeakyReLU(negative_slope=0.01),0.1,0.001
16,100,0.6154150263111263,1.501883745466036,3,64,ReLU(),0.05,0.01
17,100,7.73712263306965,21.65078337333439,3,64,ReLU(),0.05,0.001
18,100,0.7916412583251754,1.4821528002945097,3,64,ReLU(),0.1,0.01
19,100,10.597233907137127,17.410241223903633,3,64,ReLU(),0.1,0.001
20,100,0.8063572215659512,2.506134146140014,3,64,LeakyReLU(negative_slope=0.01),0.05,0.01
21,100,8.069627533770058,15.853974018138848,3,64,LeakyReLU(negative_slope=0.01),0.05,0.001
22,100,0.7531585983159411,2.189494589582573,3,64,LeakyReLU(negative_slope=0.01),0.1,0.01
23,100,5.921867590671101,10.857817497684737,3,64,LeakyReLU(negative_slope=0.01),0.1,0.001
24,100,0.3232832268998593,0.5998038036536328,4,16,ReLU(),0.05,0.01
25,100,19.48990556106368,19.792047607154576,4,16,ReLU(),0.05,0.001
28,100,0.3234334275007187,0.7781276049894236,4,16,ReLU(),0.1,0.01
29,100,14.112066186250448,13.93655956284614,4,16,ReLU(),0.1,0.001
30,100,0.3525278162127229,1.512620076443559,4,16,LeakyReLU(negative_slope=0.01),0.05,0.01
31,100,13.285669504993985,13.678402093064497,4,16,LeakyReLU(negative_slope=0.01),0.05,0.001
32,100,0.3328005304547961,0.335910194446153,4,16,LeakyReLU(negative_slope=0.01),0.1,0.01
33,100,14.444777821788932,15.61612323454992,4,16,LeakyReLU(negative_slope=0.01),0.1,0.001
34,100,0.3983447313113671,1.129935126204733,4,32,ReLU(),0.05,0.01
35,100,11.512270090350368,12.57083181418466,4,32,ReLU(),0.05,0.001
36,100,0.4500914039257566,2.628876021099952,4,32,ReLU(),0.1,0.01
37,100,6.9580535239505314,8.243110045540574,4,32,ReLU(),0.1,0.001
38,100,0.3893785123855693,0.7692325184544021,4,32,LeakyReLU(negative_slope=0.01),0.05,0.01
39,100,5.23082077537459,7.60616700288352,4,32,LeakyReLU(negative_slope=0.01),0.05,0.001
40,100,0.3670556471740698,0.749565437724342,4,32,LeakyReLU(negative_slope=0.01),0.1,0.01
41,100,9.858766834393316,10.412765922858828,4,32,LeakyReLU(negative_slope=0.01),0.1,0.001
42,100,0.6519371133218933,2.63119648006257,4,64,ReLU(),0.05,0.01
43,100,4.43728308337345,9.922681725281278,4,64,ReLU(),0.05,0.001
44,100,0.5458294193455757,3.188654551933339,4,64,ReLU(),0.1,0.01
45,100,15.57965597190914,18.651928107520902,4,64,ReLU(),0.1,0.001
46,100,0.5690418409722678,2.4358161662321,4,64,LeakyReLU(negative_slope=0.01),0.05,0.01
47,100,6.906388512974993,8.056663039495042,4,64,LeakyReLU(negative_slope=0.01),0.05,0.001
48,100,0.4941646528057972,3.123684692747421,4,64,LeakyReLU(negative_slope=0.01),0.1,0.01
49,100,7.12518979350224,9.786177023121242,4,64,LeakyReLU(negative_slope=0.01),0.1,0.001
